,CH1,CH2
Second,Volt,Volt
8.56000e-02,8.80e-01,-8.00e-02, 
8.60000e-02,8.00e-01,-8.00e-02, 
8.64000e-02,8.00e-01,-8.00e-02, 
8.68000e-02,1.12e+00,-8.00e-02, 
8.72000e-02,1.20e+00,-8.00e-02, 
8.76000e-02,1.44e+00,-8.00e-02, 
8.80000e-02,1.44e+00,-8.00e-02, 
8.84000e-02,1.76e+00,-8.00e-02, 
8.88000e-02,1.84e+00,-8.00e-02, 
8.92000e-02,2.16e+00,-8.00e-02, 
8.96000e-02,2.24e+00,-8.00e-02, 
9.00000e-02,2.72e+00,5.12e+00, 
9.04000e-02,2.80e+00,5.20e+00, 
9.08000e-02,3.20e+00,5.20e+00, 
9.12000e-02,3.28e+00,5.20e+00, 
9.16000e-02,3.60e+00,5.12e+00, 
9.20000e-02,3.60e+00,5.20e+00, 
9.24000e-02,3.92e+00,5.12e+00, 
9.28000e-02,3.84e+00,5.12e+00, 
9.32000e-02,4.24e+00,5.12e+00, 
9.36000e-02,4.24e+00,5.12e+00, 
9.40000e-02,4.40e+00,5.20e+00, 
9.44000e-02,4.32e+00,5.12e+00, 
9.48000e-02,4.48e+00,5.12e+00, 
9.52000e-02,4.56e+00,5.12e+00, 
9.56000e-02,4.32e+00,5.12e+00, 
9.60000e-02,4.48e+00,5.12e+00, 
9.64000e-02,4.40e+00,5.12e+00, 
9.68000e-02,4.32e+00,5.12e+00, 
9.72000e-02,3.92e+00,5.12e+00, 
9.76000e-02,3.92e+00,5.12e+00, 
9.80000e-02,3.68e+00,5.12e+00, 
9.84000e-02,3.68e+00,5.12e+00, 
9.88000e-02,3.36e+00,5.12e+00, 
9.92000e-02,3.28e+00,5.12e+00, 
9.96000e-02,2.88e+00,5.12e+00, 
1.00000e-01,2.80e+00,5.12e+00, 
1.00400e-01,2.24e+00,-1.60e-01, 
1.00800e-01,2.24e+00,-8.00e-02, 
1.01200e-01,1.92e+00,-8.00e-02, 
